[train] init from experiments/expI_kd_dynamic/fairD_C/checkpoint.pt: loaded 261/261 keys missing=0 unexpected=0
[train] stage=D adaptive=True params=0.235M
/home/mycode/ai_study/trac/training/train.py:138: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  running[k] = running.get(k, 0.0) + float(v)
[stage D] ep 1 step 3850/4366 loss 0.2332 det 0.1073 da 0.0610 lane 0.0575 budget 0.0073  146ms/step
[stage D] ep 1 step 3900/4366 loss 0.2330 det 0.1073 da 0.0610 lane 0.0575 budget 0.0073  146ms/step
[stage D] ep 1 step 3950/4366 loss 0.2329 det 0.1073 da 0.0609 lane 0.0575 budget 0.0072  146ms/step
[stage D] ep 1 step 4000/4366 loss 0.2328 det 0.1073 da 0.0609 lane 0.0575 budget 0.0071  146ms/step
[stage D] ep 1 step 4050/4366 loss 0.2327 det 0.1072 da 0.0609 lane 0.0575 budget 0.0070  146ms/step
[stage D] ep 1 step 4100/4366 loss 0.2326 det 0.1072 da 0.0609 lane 0.0575 budget 0.0069  146ms/step
[stage D] ep 1 step 4150/4366 loss 0.2325 det 0.1072 da 0.0609 lane 0.0575 budget 0.0069  146ms/step
[stage D] ep 1 step 4200/4366 loss 0.2324 det 0.1072 da 0.0609 lane 0.0575 budget 0.0068  146ms/step
[stage D] ep 1 step 4250/4366 loss 0.2324 det 0.1072 da 0.0609 lane 0.0575 budget 0.0067  146ms/step
[stage D] ep 1 step 4300/4366 loss 0.2322 det 0.1072 da 0.0609 lane 0.0575 budget 0.0066  146ms/step
[stage D] ep 1 step 4350/4366 loss 0.2321 det 0.1072 da 0.0608 lane 0.0575 budget 0.0066  146ms/step
[stage D] ep 1 DONE avg_loss=0.2321 saved experiments/expI_kd_dynamic/fairD_D/checkpoint.pt
[stage D] ep 2 step 50/4366 loss 0.2250 det 0.1062 da 0.0615 lane 0.0568 budget 0.0005  157ms/step
[stage D] ep 2 step 100/4366 loss 0.2233 det 0.1061 da 0.0594 lane 0.0573 budget 0.0005  153ms/step
[stage D] ep 2 step 150/4366 loss 0.2229 det 0.1065 da 0.0593 lane 0.0566 budget 0.0005  151ms/step
[stage D] ep 2 step 200/4366 loss 0.2230 det 0.1062 da 0.0592 lane 0.0571 budget 0.0005  151ms/step
[stage D] ep 2 step 250/4366 loss 0.2230 det 0.1065 da 0.0589 lane 0.0571 budget 0.0005  150ms/step
